date,city_id,province,country,latitude,longitude,temperature_max,temperature_min,temperature_mean,rain_sum,humidity_mean,wind_speed_max,aqi,cloud_cover_mean
2026-06-24,201,Trường Sa,Viet Nam,10.66936,115.833324,29.6,27.7,28.8,7.0,79,33.2,27,96
2026-06-24,696,Hà Nam,Viet Nam,20.5463,105.9142,37.4,29.7,32.5,0.5,64,13.2,63,74
2026-06-24,590,Đà Nẵng,Viet Nam,16.0471,108.2068,40.2,28.8,33.6,0.3,59,16.1,70,39
2026-06-24,645,Hà Tĩnh,Viet Nam,18.3421,105.9038,39.4,30.9,35.0,0.5,45,17.3,30,36
2026-06-24,326,Thừa Thiên Huế,Viet Nam,16.4633,107.5847,40.0,28.5,33.6,0.2,54,12.6,43,49
2026-06-24,288,Hoàng Sa,Viet Nam,16.641233,112.742024,30.7,30.0,30.3,0.0,85,38.5,52,83
2026-06-24,146,Tiền Giang,Viet Nam,10.3606,106.3636,34.7,26.4,29.3,2.2,81,15.6,79,67
2026-06-24,108,Lào Cai,Viet Nam,22.4856,103.9707,36.6,28.1,32.3,0.4,66,10.8,22,96
2026-06-24,734,Yên Bái,Viet Nam,21.7051,104.8751,37.6,28.4,32.6,0.5,70,6.5,51,88
2026-06-24,521,TP. Hồ Chí Minh,Viet Nam,10.8231,106.6297,35.2,25.8,29.5,4.2,78,15.3,78,58
2026-06-24,456,Vĩnh Phúc,Viet Nam,21.3089,105.6047,38.1,30.2,33.8,0.0,59,8.6,69,92
2026-06-24,587,Trà Vinh,Viet Nam,9.9342,106.3339,33.6,26.5,28.8,2.7,79,18.3,76,70
2026-06-24,920,Vĩnh Long,Viet Nam,10.2536,105.9723,34.4,26.8,29.5,1.5,77,21.1,81,65
2026-06-24,813,Đồng Tháp,Viet Nam,10.4552,105.6323,33.8,26.4,29.3,0.9,79,20.0,80,58
2026-06-24,275,Tuyên Quang,Viet Nam,21.8159,105.2132,36.2,28.5,31.9,0.0,73,6.1,66,91
2026-06-24,701,Hà Nội,Viet Nam,21.0285,105.8542,37.2,30.5,33.2,0.0,65,10.3,74,90
2026-06-24,684,Khánh Hòa,Viet Nam,12.2467,109.1833,35.5,27.1,31.2,0.1,69,15.2,61,34
2026-06-24,811,Điện Biên,Viet Nam,21.3833,103.0167,32.0,25.2,28.1,3.1,79,14.3,25,80
2026-06-24,226,Kon Tum,Viet Nam,14.35,108.0,33.1,23.9,27.4,6.3,80,15.6,28,49
2026-06-24,910,Cao Bằng,Viet Nam,22.6661,106.2635,34.7,25.4,28.9,16.8,88,8.3,37,98
2026-06-24,463,Hậu Giang,Viet Nam,9.7845,105.4735,31.9,26.0,27.9,8.4,84,16.4,61,83
2026-06-24,620,Cần Thơ,Viet Nam,10.0451,105.7462,32.9,26.4,28.6,3.4,81,18.3,67,75
2026-06-24,255,Long An,Viet Nam,10.5332,105.4053,34.9,27.3,30.0,1.7,73,18.6,80,53
2026-06-24,767,Kiên Giang,Viet Nam,10.0122,105.0809,31.1,27.2,29.4,5.9,74,23.8,46,79
2026-06-24,365,Cà Mau,Viet Nam,9.1769,105.1501,31.1,25.5,28.1,9.3,84,17.8,27,77
