date,city_id,province,country,latitude,longitude,temperature_max,temperature_min,temperature_mean,rain_sum,humidity_mean,wind_speed_max,aqi,cloud_cover_mean
2024-01-01,707,Bắc Ninh,Viet Nam,21.1861,106.0763,26.3,17.7,21.8,0.0,80,15.6,75,52
2024-01-01,590,Đà Nẵng,Viet Nam,16.0471,108.2068,25.3,22.5,23.7,3.9,86,15.8,36,91
2024-01-01,365,Cà Mau,Viet Nam,9.1769,105.1501,31.1,23.1,26.8,1.5,78,19.5,26,97
2024-01-01,278,Đồng Nai,Viet Nam,10.9575,106.8427,32.1,23.6,27.4,0.0,76,11.3,68,100
2024-01-01,347,Bình Phước,Viet Nam,11.7516,106.8778,32.6,21.7,26.8,0.0,69,10.7,32,88
2024-01-01,811,Điện Biên,Viet Nam,21.3833,103.0167,27.5,11.8,19.2,0.0,73,6.8,21,10
2024-01-01,132,Đắk Nông,Viet Nam,12.0,107.7,29.1,18.0,22.7,0.0,77,9.9,19,97
2024-01-01,620,Cần Thơ,Viet Nam,10.0451,105.7462,31.0,23.4,27.0,1.0,80,12.4,51,100
2024-01-01,133,Bình Định,Viet Nam,13.782,109.2194,26.9,22.4,24.2,1.1,86,17.1,28,91
2024-01-01,951,Bình Dương,Viet Nam,11.0531,106.6661,32.1,22.9,27.1,0.0,76,7.8,66,99
2024-01-01,960,Lai Châu,Viet Nam,22.3959,103.4621,21.7,12.0,16.3,0.3,78,5.7,28,25
2024-01-01,416,Ninh Bình,Viet Nam,20.2506,105.9744,26.7,19.0,22.0,0.7,87,14.7,74,80
2024-01-01,915,Tây Ninh,Viet Nam,11.3125,106.1006,33.4,23.2,28.1,0.0,69,11.3,66,92
2024-01-01,463,Hậu Giang,Viet Nam,9.7845,105.4735,31.2,22.7,26.9,0.7,78,14.2,30,100
2024-01-01,146,Tiền Giang,Viet Nam,10.3606,106.3636,32.1,23.6,27.0,0.3,81,8.4,56,100
2024-01-01,734,Yên Bái,Viet Nam,21.7051,104.8751,24.7,17.7,20.7,0.2,88,7.8,70,81
2024-01-01,237,Hải Phòng,Viet Nam,20.8449,106.6881,24.9,18.7,21.4,0.4,84,16.2,55,56
2024-01-01,160,Nam Định,Viet Nam,20.4231,106.1681,26.2,19.1,21.7,0.3,86,16.9,74,74
2024-01-01,255,Long An,Viet Nam,10.5332,105.4053,30.8,23.1,26.7,0.8,83,11.7,57,98
2024-01-01,201,Trường Sa,Viet Nam,10.66936,115.833324,28.1,26.7,27.5,12.5,83,27.4,33,92
2024-01-01,981,Quảng Bình,Viet Nam,17.4731,106.5962,24.4,20.1,22.1,0.6,91,12.3,36,88
