date,city_id,province,country,latitude,longitude,temperature_max,temperature_min,temperature_mean,rain_sum,humidity_mean,wind_speed_max,aqi,cloud_cover_mean
2026-07-16,707,Bắc Ninh,Viet Nam,21.1861,106.0763,32.9,27.8,30.2,1.6,75,16.0,75,93
2026-07-16,861,Lạng Sơn,Viet Nam,21.8519,106.7614,30.7,24.6,26.8,8.9,87,14.5,54,77
2026-07-16,684,Khánh Hòa,Viet Nam,12.2467,109.1833,35.2,26.7,30.8,0.3,65,18.9,40,83
2026-07-16,275,Tuyên Quang,Viet Nam,21.8159,105.2132,30.7,25.9,27.8,7.6,88,5.8,65,85
2026-07-16,416,Ninh Bình,Viet Nam,20.2506,105.9744,33.2,27.6,30.2,2.6,75,17.6,47,98
2026-07-16,701,Hà Nội,Viet Nam,21.0285,105.8542,33.1,28.2,30.4,0.7,74,11.4,75,96
2026-07-16,146,Tiền Giang,Viet Nam,10.3606,106.3636,31.8,25.4,27.9,0.5,85,16.6,66,85
2026-07-16,784,Bình Thuận,Viet Nam,10.9333,108.1,32.1,25.3,27.9,0.4,76,21.4,46,95
2026-07-16,288,Hoàng Sa,Viet Nam,16.641233,112.742024,30.2,28.8,29.7,1.6,79,36.1,34,73
2026-07-16,252,Phú Thọ,Viet Nam,21.3235,105.4011,33.4,28.0,30.2,2.3,78,11.7,72,92
2026-07-16,168,An Giang,Viet Nam,10.5185,105.1152,31.3,25.2,27.9,0.7,80,14.1,59,95
2026-07-16,587,Trà Vinh,Viet Nam,9.9342,106.3339,31.6,25.3,27.3,4.3,86,14.4,69,83
2026-07-16,463,Hậu Giang,Viet Nam,9.7845,105.4735,32.1,25.2,27.8,2.0,83,14.3,67,78
2026-07-16,326,Thừa Thiên Huế,Viet Nam,16.4633,107.5847,35.3,27.0,30.7,0.4,64,11.9,38,89
2026-07-16,365,Cà Mau,Viet Nam,9.1769,105.1501,32.1,25.6,28.1,2.2,83,14.6,37,82
2026-07-16,385,Hà Giang,Viet Nam,22.8233,104.9836,30.8,25.2,27.3,3.6,88,8.1,26,80
2026-07-16,226,Kon Tum,Viet Nam,14.35,108.0,27.7,22.7,24.5,8.3,86,18.2,17,94
2026-07-16,495,Nghệ An,Viet Nam,18.6667,105.6667,34.9,27.1,31.3,0.0,62,20.9,29,93
2026-07-16,767,Kiên Giang,Viet Nam,10.0122,105.0809,30.3,25.0,27.9,0.0,81,14.9,63,88
2026-07-16,645,Hà Tĩnh,Viet Nam,18.3421,105.9038,33.9,27.2,30.3,2.2,69,21.6,27,86
2026-07-16,454,Thanh Hóa,Viet Nam,19.8075,105.7764,33.7,25.8,30.1,8.4,74,19.5,35,97
2026-07-16,620,Cần Thơ,Viet Nam,10.0451,105.7462,32.0,25.5,27.9,0.9,82,15.0,71,79
2026-07-16,981,Quảng Bình,Viet Nam,17.4731,106.5962,33.3,26.8,29.5,2.1,71,15.3,26,91
2026-07-16,496,Bạc Liêu,Viet Nam,9.2941,105.7242,31.9,25.3,27.8,5.3,84,16.3,38,83
2026-07-16,201,Trường Sa,Viet Nam,10.66936,115.833324,29.9,29.0,29.5,0.4,75,24.7,22,75
2026-07-16,193,Bắc Kạn,Viet Nam,22.147,105.8326,31.8,25.5,28.0,2.6,89,13.7,63,75
2026-07-16,511,Hòa Bình,Viet Nam,20.8171,105.3375,32.9,27.8,30.3,0.0,74,12.1,26,99
2026-07-16,110,Thái Nguyên,Viet Nam,21.5939,105.8481,32.0,26.4,29.2,4.5,83,7.6,75,83
2026-07-16,910,Cao Bằng,Viet Nam,22.6661,106.2635,33.3,25.8,28.3,3.2,84,9.5,38,70
2026-07-16,813,Đồng Tháp,Viet Nam,10.4552,105.6323,32.1,25.5,28.0,0.7,80,15.8,68,90
2026-07-16,833,Bến Tre,Viet Nam,10.2424,106.3752,32.2,25.8,28.0,1.3,84,15.1,66,81
2026-07-16,951,Bình Dương,Viet Nam,11.0531,106.6661,32.4,24.9,27.3,13.8,85,16.9,62,93
2026-07-16,160,Nam Định,Viet Nam,20.4231,106.1681,33.0,27.7,30.5,0.4,72,17.8,47,98
2026-07-16,215,Hải Dương,Viet Nam,20.9391,106.3146,32.3,27.9,30.1,1.3,77,15.1,64,96
2026-07-16,872,Thái Bình,Viet Nam,20.4463,106.3364,32.9,27.7,30.6,0.2,71,18.7,45,98
2026-07-16,590,Đà Nẵng,Viet Nam,16.0471,108.2068,37.9,29.6,32.7,1.3,52,16.3,39,79
2026-07-16,249,Phú Yên,Viet Nam,13.0883,109.3045,36.1,27.9,31.3,0.0,54,30.3,22,90
2026-07-16,797,Gia Lai,Viet Nam,13.9833,108.0,25.4,20.5,21.9,10.9,94,22.3,19,99
2026-07-16,208,Ninh Thuận,Viet Nam,11.5647,108.9892,38.5,27.7,32.0,0.2,56,21.5,25,82
2026-07-16,456,Vĩnh Phúc,Viet Nam,21.3089,105.6047,32.6,27.6,29.7,2.0,77,11.6,72,94
2026-07-16,960,Lai Châu,Viet Nam,22.3959,103.4621,24.0,21.1,22.4,14.9,96,4.7,17,96
2026-07-16,915,Tây Ninh,Viet Nam,11.3125,106.1006,31.6,24.8,27.3,5.1,85,14.6,39,94
2026-07-16,196,Đắk Lắk,Viet Nam,12.6667,108.05,28.8,22.2,25.0,3.6,84,16.8,20,94
2026-07-16,696,Hà Nam,Viet Nam,20.5463,105.9142,32.2,26.9,29.8,1.8,76,17.6,47,98
2026-07-16,327,Bà Rịa – Vũng Tàu,Viet Nam,10.4114,107.1362,30.8,26.1,27.9,6.5,82,16.3,50,90
2026-07-16,255,Long An,Viet Nam,10.5332,105.4053,31.4,25.3,27.9,1.4,81,15.3,68,90
2026-07-16,237,Hải Phòng,Viet Nam,20.8449,106.6881,33.0,28.2,30.4,1.1,77,16.2,51,95
2026-07-16,278,Đồng Nai,Viet Nam,10.9575,106.8427,32.0,25.2,27.5,9.0,84,13.0,71,94
2026-07-16,503,Sơn La,Viet Nam,21.3262,103.9149,25.2,22.7,23.9,23.2,98,6.6,20,100
2026-07-16,132,Đắk Nông,Viet Nam,12.0,107.7,26.3,21.1,23.0,4.4,88,13.1,22,94
2026-07-16,669,Hưng Yên,Viet Nam,20.6465,106.0511,32.5,28.1,30.1,0.6,76,19.4,67,98
2026-07-16,729,Phú Quốc,Viet Nam,10.279526,104.003538,31.0,24.8,27.0,1.8,85,12.1,33,84
2026-07-16,133,Bình Định,Viet Nam,13.782,109.2194,34.2,27.9,30.3,0.2,60,23.5,23,92
2026-07-16,122,Lâm Đồng,Viet Nam,11.9404,108.4419,21.7,16.5,18.8,0.5,86,24.4,17,90
2026-07-16,734,Yên Bái,Viet Nam,21.7051,104.8751,31.0,26.1,28.0,8.8,90,5.0,51,92
2026-07-16,547,Sóc Trăng,Viet Nam,9.6019,105.9731,31.9,25.0,27.2,16.8,86,14.5,70,87
2026-07-16,811,Điện Biên,Viet Nam,21.3833,103.0167,26.0,23.4,24.6,23.8,95,9.6,20,100
2026-07-16,521,TP. Hồ Chí Minh,Viet Nam,10.8231,106.6297,32.6,25.0,28.0,3.4,82,14.5,71,89
2026-07-16,347,Bình Phước,Viet Nam,11.7516,106.8778,30.3,23.7,25.7,3.7,90,10.6,38,96
2026-07-16,920,Vĩnh Long,Viet Nam,10.2536,105.9723,31.9,25.4,28.0,1.5,84,15.9,67,82
2026-07-16,849,Bắc Giang,Viet Nam,21.2731,106.1946,32.9,27.9,30.0,1.7,79,14.2,75,92
2026-07-16,108,Lào Cai,Viet Nam,22.4856,103.9707,29.7,26.6,27.7,14.8,88,7.8,18,77
2026-07-16,123,Quảng Trị,Viet Nam,16.75,107.1833,32.7,27.9,29.8,0.0,66,26.4,26,91
2026-07-17,503,Sơn La,Viet Nam,21.3262,103.9149,26.0,23.0,24.0,21.3,94,9.4,20,92
2026-07-17,278,Đồng Nai,Viet Nam,10.9575,106.8427,31.6,25.4,28.0,3.7,82,17.5,80,89
2026-07-17,849,Bắc Giang,Viet Nam,21.2731,106.1946,32.9,27.5,30.2,0.4,74,19.1,65,82
2026-07-17,288,Hoàng Sa,Viet Nam,16.641233,112.742024,30.2,29.3,29.7,0.0,80,31.9,43,69
2026-07-17,981,Quảng Bình,Viet Nam,17.4731,106.5962,32.7,27.7,29.6,0.0,71,16.0,31,95
2026-07-17,813,Đồng Tháp,Viet Nam,10.4552,105.6323,32.3,25.8,28.4,1.0,79,17.2,69,69
2026-07-17,669,Hưng Yên,Viet Nam,20.6465,106.0511,33.3,27.5,30.2,3.7,75,12.9,63,92
2026-07-17,249,Phú Yên,Viet Nam,13.0883,109.3045,35.5,28.2,31.3,0.1,54,26.2,23,55
2026-07-17,797,Gia Lai,Viet Nam,13.9833,108.0,26.1,20.9,22.6,3.4,91,22.5,17,76
2026-07-17,275,Tuyên Quang,Viet Nam,21.8159,105.2132,32.4,26.4,29.2,2.0,80,8.1,60,54
2026-07-17,252,Phú Thọ,Viet Nam,21.3235,105.4011,32.5,27.1,29.8,9.0,76,17.2,51,78
2026-07-17,385,Hà Giang,Viet Nam,22.8233,104.9836,31.0,25.4,28.2,8.8,85,5.2,27,75
2026-07-17,347,Bình Phước,Viet Nam,11.7516,106.8778,30.0,23.0,26.2,3.3,87,12.8,35,82
2026-07-17,193,Bắc Kạn,Viet Nam,22.147,105.8326,32.6,26.2,29.0,1.8,86,10.9,65,58
2026-07-17,208,Ninh Thuận,Viet Nam,11.5647,108.9892,39.1,27.9,32.6,0.0,54,18.3,25,60
2026-07-17,696,Hà Nam,Viet Nam,20.5463,105.9142,33.5,27.3,30.1,1.7,73,12.9,51,89
2026-07-17,861,Lạng Sơn,Viet Nam,21.8519,106.7614,32.1,25.2,28.2,0.9,78,18.1,53,55
2026-07-17,133,Bình Định,Viet Nam,13.782,109.2194,35.5,28.1,31.1,0.0,57,25.1,23,51
2026-07-17,416,Ninh Bình,Viet Nam,20.2506,105.9744,34.0,27.7,30.7,1.6,70,15.5,51,73
2026-07-17,701,Hà Nội,Viet Nam,21.0285,105.8542,32.5,27.5,30.3,0.2,75,13.3,65,87
2026-07-17,587,Trà Vinh,Viet Nam,9.9342,106.3339,31.8,25.2,27.8,0.3,83,13.8,73,90
2026-07-17,495,Nghệ An,Viet Nam,18.6667,105.6667,34.7,29.3,31.4,0.0,57,24.4,31,76
2026-07-17,645,Hà Tĩnh,Viet Nam,18.3421,105.9038,33.0,27.0,29.8,0.0,68,23.6,30,91
2026-07-17,496,Bạc Liêu,Viet Nam,9.2941,105.7242,32.2,25.9,28.3,1.4,80,12.5,54,83
2026-07-17,160,Nam Định,Viet Nam,20.4231,106.1681,34.3,27.9,30.8,1.0,70,15.0,51,76
2026-07-17,215,Hải Dương,Viet Nam,20.9391,106.3146,33.2,27.2,29.7,1.7,79,14.3,62,93
2026-07-17,960,Lai Châu,Viet Nam,22.3959,103.4621,25.2,21.5,23.0,13.5,92,6.1,18,97
2026-07-17,734,Yên Bái,Viet Nam,21.7051,104.8751,33.1,26.4,29.6,5.2,81,8.7,40,67
2026-07-17,255,Long An,Viet Nam,10.5332,105.4053,32.5,25.8,28.4,1.0,78,16.4,69,69
2026-07-17,237,Hải Phòng,Viet Nam,20.8449,106.6881,33.2,27.7,30.0,6.8,77,12.6,49,94
2026-07-17,521,TP. Hồ Chí Minh,Viet Nam,10.8231,106.6297,32.8,25.7,28.5,1.5,78,14.8,80,90
2026-07-17,108,Lào Cai,Viet Nam,22.4856,103.9707,31.9,27.5,29.2,4.4,82,5.7,20,78
2026-07-17,707,Bắc Ninh,Viet Nam,21.1861,106.0763,32.9,27.4,30.2,0.6,73,19.8,65,83
2026-07-17,684,Khánh Hòa,Viet Nam,12.2467,109.1833,35.3,27.0,30.9,0.0,62,17.9,49,51
2026-07-17,511,Hòa Bình,Viet Nam,20.8171,105.3375,30.9,27.0,28.8,6.8,82,11.1,25,89
2026-07-17,146,Tiền Giang,Viet Nam,10.3606,106.3636,32.1,25.8,28.2,0.7,80,15.7,70,86
2026-07-17,784,Bình Thuận,Viet Nam,10.9333,108.1,31.9,25.6,28.6,0.0,74,21.6,48,68
2026-07-17,729,Phú Quốc,Viet Nam,10.279526,104.003538,30.6,25.0,27.3,2.8,83,13.4,33,89
2026-07-17,226,Kon Tum,Viet Nam,14.35,108.0,29.0,21.5,24.8,4.9,83,17.5,17,65
2026-07-17,326,Thừa Thiên Huế,Viet Nam,16.4633,107.5847,36.6,27.3,31.5,0.4,61,14.3,41,78
2026-07-17,365,Cà Mau,Viet Nam,9.1769,105.1501,32.0,25.8,28.5,0.0,78,14.3,55,86
